date;time;bid;ask;last;type;volume
20251107;022445.870;25276.00;25277.00;25276.00;Bid;1
20251107;022445.870;25276.00;25277.00;25277.00;Ask;1
20251107;022449.727;25274.00;25276.00;25276.00;Ask;1
20251107;022449.849;25275.00;25276.00;25275.00;Bid;1
20251107;022453.437;25275.00;25277.00;25277.00;Ask;1
20251107;022454.172;25276.00;25278.00;25278.00;Ask;5
20251107;022454.901;25277.00;25280.00;25280.00;Ask;1
20251107;022456.072;25280.00;25281.00;25281.00;Ask;1
20251107;022459.499;25281.00;25282.00;25281.00;Bid;1
20251107;022459.499;25281.00;25282.00;25282.00;Ask;1
