date;time;bid;ask;price;volume;side;shape;order_type;entry_price;exit_price;exit_tag
20251107;080218.032;25326.25;;25326.25;2;BID;;;;;
20251107;080218.032;25326.50;;25326.50;1;BID;;;;;
20251107;080218.032;;25327.75;25327.75;1;ASK;;;;;
20251107;080218.076;;25327.75;25327.75;2;ASK;;;;;
20251107;080218.076;;25327.50;25327.50;1;ASK;;;;;
20251107;080218.076;25326.25;;25326.25;2;BID;;;;;
20251107;080218.108;;25327.75;25327.75;2;ASK;;;;;
20251107;080218.108;25326.25;;25326.25;1;BID;;;;;
20251107;080218.108;;25327.75;25327.75;1;ASK;;;;;
20251107;080218.108;25326.00;;25326.00;1;BID;;;;;
20251107;080218.108;;25327.50;25327.50;1;ASK;;;;;
20251107;080218.108;25326.25;;25326.25;1;BID;;;;;
20251107;080218.384;;25327.75;25327.75;2;ASK;;;;;
20251107;080218.384;25326.50;;25326.50;1;BID;;;;;
20251107;080218.384;;25327.50;25327.50;1;ASK;;;;;
20251107;080218.384;25326.25;;25326.25;2;BID;;;;;
20251107;080218.388;25326.50;;25326.50;1;BID;;;;;
20251107;080218.388;;25327.75;25327.75;2;ASK;;;;;
20251107;080218.548;;25327.50;25327.50;1;ASK;;;;;
20251107;080218.548;;25327.25;25327.25;1;ASK;;;;;
20251107;080218.548;25326.25;;25326.25;1;BID;;;;;
20251107;080218.548;25326.00;;25326.00;1;BID;;;;;
20251107;080218.552;;25327.50;25327.50;1;ASK;;;;;
20251107;080218.572;;25327.50;25327.50;2;ASK;;;;;
20251107;080218.572;;25327.25;25327.25;1;ASK;;;;;
20251107;080220.212;;25327.50;25327.50;3;ASK;;;;;
20251107;080220.212;25326.25;;25326.25;1;BID;;;;;
20251107;080220.212;;25327.50;25327.50;2;ASK;;;;;
20251107;080220.212;;25327.50;25327.50;1;ASK;;;;;
20251107;080220.556;;25327.75;25327.75;2;ASK;;;;;
20251107;080220.560;25326.50;;25326.50;1;BID;;;;;
20251107;080220.560;;25327.75;25327.75;1;ASK;;;;;
20251107;080220.560;25326.75;;25326.75;1;BID;;;;;
20251107;080220.560;;25328.00;25328.00;2;ASK;;;;;
20251107;080220.560;;25328.00;25328.00;1;ASK;;;;;
20251107;080220.560;;25328.25;25328.25;2;ASK;;;;;
20251107;080220.560;;25328.00;25328.00;1;ASK;;;;;
20251107;080220.624;;25328.25;25328.25;2;ASK;;;;;
20251107;080220.624;25327.00;;25327.00;1;BID;;;;;
20251107;080220.624;;25328.25;25328.25;1;ASK;;;;;
20251107;080220.628;;25328.50;25328.50;2;ASK;;;;;
20251107;080220.628;;25328.50;25328.50;1;ASK;;;;;
20251107;080220.628;;25328.50;25328.50;2;ASK;;;;;
20251107;080220.628;;25328.25;25328.25;1;ASK;;;;;
20251107;080220.628;25326.75;;25326.75;1;BID;;;;;
20251107;080220.628;;25328.00;25328.00;1;ASK;;;;;
20251107;080220.768;25327.00;;25327.00;1;BID;;;;;
20251107;080220.768;;25328.25;25328.25;1;ASK;;;;;
20251107;080220.816;;25328.00;25328.00;1;ASK;;;;;
20251107;080220.816;25326.75;;25326.75;1;BID;;;;;
20251107;080220.816;25326.50;;25326.50;1;BID;;;;;
20251107;080220.868;;25328.25;25328.25;1;ASK;;;;;
20251107;080220.868;25326.75;;25326.75;1;BID;;;;;
20251107;080220.868;25327.00;;25327.00;1;BID;;;;;
20251107;080220.924;;25328.00;25328.00;1;ASK;;;;;
20251107;080220.924;25326.75;;25326.75;1;BID;;;;;
20251107;080220.976;;25328.25;25328.25;1;ASK;;;;;
20251107;080220.976;25327.00;;25327.00;1;BID;;;;;
20251107;080221.172;;25328.25;25328.25;2;ASK;;;;;
20251107;080221.172;;25328.00;25328.00;1;ASK;;;;;
20251107;080221.172;25326.75;;25326.75;1;BID;;;;;
20251107;080221.172;25326.50;;25326.50;1;BID;;;;;
20251107;080221.172;;25327.75;25327.75;1;ASK;;;;;
20251107;080221.188;;25328.00;25328.00;1;ASK;;;;;
20251107;080221.188;25326.75;;25326.75;1;BID;;;;;
20251107;080221.192;25326.75;;25326.75;1;BID;;;;;
20251107;080221.192;25326.50;;25326.50;1;BID;;;;;
20251107;080221.192;;25327.75;25327.75;1;ASK;;;;;
20251107;080221.192;25326.25;;25326.25;2;BID;;;;;
20251107;080221.192;25326.25;;25326.25;1;BID;;;;;
20251107;080221.192;;25327.75;25327.75;2;ASK;;;;;
20251107;080221.192;;25327.50;25327.50;1;ASK;;;;;
20251107;080221.196;25326.00;;25326.00;1;BID;;;;;
20251107;080221.196;25326.25;;25326.25;1;BID;;;;;
20251107;080221.484;;25326.50;25326.50;1;ASK;;;;;
20251107;080221.484;;25326.50;25326.50;1;ASK;;;;;
20251107;080221.484;;25327.50;25327.50;1;ASK;;;;;
20251107;080221.484;25326.25;;25326.25;1;BID;;;;;
20251107;080221.484;25326.00;;25326.00;1;BID;;;;;
20251107;080221.484;;25327.50;25327.50;2;ASK;;;;;
20251107;080221.484;;25327.25;25327.25;1;ASK;;;;;
20251107;080221.488;25325.75;;25325.75;2;BID;;;;;
20251107;080221.488;;25327.25;25327.25;2;ASK;;;;;
20251107;080221.488;;25327.25;25327.25;3;ASK;;;;;
20251107;080221.488;25325.75;;25325.75;1;BID;;;;;
20251107;080221.488;;25327.25;25327.25;4;ASK;;;;;
20251107;080221.488;;25327.00;25327.00;1;ASK;;;;;
20251107;080221.488;25325.50;;25325.50;3;BID;;;;;
20251107;080221.488;;25327.00;25327.00;2;ASK;;;;;
20251107;080221.488;;25327.00;25327.00;3;ASK;;;;;
20251107;080221.488;;25327.00;25327.00;4;ASK;;;;;
20251107;080221.488;25325.50;;25325.50;2;BID;;;;;
20251107;080221.488;25325.50;;25325.50;1;BID;;;;;
20251107;080221.488;;25326.75;25326.75;1;ASK;;;;;
