date;time;bid;ask;price;volume;side;shape
20251110;174855.452;;;25481.25;3;BETWEEN;
20251110;174855.452;25480.75;;25480.75;1;BID;
20251110;174855.452;;25481.25;25481.25;1;ASK;
20251110;174855.529;;25481.50;25481.50;3;ASK;
20251110;174855.529;25480.75;;25480.75;3;BID;
20251110;174855.554;;;25481.25;2;BETWEEN;
20251110;174855.554;25480.75;;25480.75;2;BID;
20251110;174855.609;;25481.50;25481.50;3;ASK;
20251110;174855.609;25480.75;;25480.75;3;BID;
20251110;174855.643;;25481.50;25481.50;2;ASK;
20251110;174855.643;;;25481.00;4;BETWEEN;
20251110;174855.663;;25481.50;25481.50;3;ASK;
20251110;174855.663;25481.00;;25481.00;2;BID;
20251110;174855.758;25481.00;;25481.00;3;BID;
20251110;174855.785;;25481.75;25481.75;3;ASK;
20251110;174855.785;;;25481.25;1;BETWEEN;
20251110;174855.795;25481.25;;25481.25;2;BID;
20251110;174855.849;;25481.75;25481.75;2;ASK;
20251110;174855.862;;;25481.50;3;BETWEEN;
20251110;174855.862;;25481.75;25481.75;1;ASK;
20251110;174855.862;;25481.75;25481.75;1;ASK;
20251110;174855.862;;25481.75;25481.75;1;ASK;
20251110;174855.873;;25482.00;25482.00;3;ASK;
20251110;174855.873;25481.50;;25481.50;2;BID;
20251110;174855.905;;25482.00;25482.00;4;ASK;
20251110;174855.905;25481.50;;25481.50;1;BID;
20251110;174855.942;25481.25;;25481.25;5;BID;
20251110;174855.953;;;25481.50;1;BETWEEN;
20251110;174856.073;;25482.00;25482.00;2;ASK;
20251110;174856.073;25481.50;;25481.50;2;BID;
20251110;174856.092;25481.50;;25481.50;4;BID;
20251110;174856.130;25481.50;;25481.50;5;BID;
20251110;174856.130;;25482.00;25482.00;1;ASK;
20251110;174856.130;;25482.00;25482.00;1;ASK;
20251110;174856.130;;25482.50;25482.50;3;ASK;
20251110;174856.157;;;25481.75;5;BETWEEN;
20251110;174856.182;;;25482.00;2;BETWEEN;
20251110;174856.237;;25482.75;25482.75;4;ASK;
20251110;174856.237;25482.00;;25482.00;4;BID;
20251110;174856.255;;;25482.25;1;BETWEEN;
20251110;174856.289;;25482.75;25482.75;3;ASK;
20251110;174856.289;25482.25;;25482.25;2;BID;
20251110;174856.320;;25482.75;25482.75;2;ASK;
20251110;174856.320;25482.25;;25482.25;3;BID;
20251110;174856.332;;25483.00;25483.00;3;ASK;
20251110;174856.332;;;25482.75;1;BETWEEN;
20251110;174856.332;;25483.00;25483.00;1;ASK;
20251110;174856.332;;25483.00;25483.00;1;ASK;
20251110;174856.332;;25483.00;25483.00;1;ASK;
20251110;174856.332;;25483.25;25483.25;4;ASK;
