index;timestamp;price;type;direction;confirmed
3;2025-10-09 06:05:00;25324,25;VALLE;down;True
19;2025-10-09 06:21:00;25337,5;PICO;up;True
21;2025-10-09 06:24:00;25331,25;VALLE;down;True
26;2025-10-09 06:28:00;25340,75;PICO;up;True
36;2025-10-09 06:41:00;25328,25;VALLE;down;True
57;2025-10-09 07:01:00;25342,25;PICO;up;True
61;2025-10-09 07:02:00;25336,0;VALLE;down;True
72;2025-10-09 07:13:00;25351,25;PICO;up;True
73;2025-10-09 07:25:00;25344,0;VALLE;down;True
89;2025-10-09 07:29:00;25360,0;PICO;up;True
89;2025-10-09 07:30:00;25348,75;VALLE;down;True
90;2025-10-09 07:31:00;25364,75;PICO;up;True
91;2025-10-09 07:32:00;25357,75;VALLE;down;True
93;2025-10-09 07:33:00;25364,0;PICO;up;True
95;2025-10-09 07:36:00;25354,0;VALLE;down;True
99;2025-10-09 07:40:00;25362,5;PICO;up;True
105;2025-10-09 07:45:00;25345,0;VALLE;down;True
105;2025-10-09 07:46:00;25352,75;PICO;up;True
109;2025-10-09 07:51:00;25341,0;VALLE;down;True
120;2025-10-09 08:00:00;25358,0;PICO;up;True
120;2025-10-09 08:03:00;25352,25;VALLE;down;True
125;2025-10-09 08:05:00;25364,25;PICO;up;True
125;2025-10-09 08:06:00;25358,75;VALLE;down;True
127;2025-10-09 08:11:00;25365,75;PICO;up;True
132;2025-10-09 08:13:00;25358,0;VALLE;down;True
137;2025-10-09 08:19:00;25367,75;PICO;up;True
141;2025-10-09 08:21:00;25351,25;VALLE;down;True
141;2025-10-09 08:22:00;25358,25;PICO;up;True
143;2025-10-09 08:24:00;25350,75;VALLE;down;True
144;2025-10-09 08:26:00;25358,0;PICO;up;True
147;2025-10-09 08:30:00;25346,75;VALLE;down;True
151;2025-10-09 08:31:00;25359,25;PICO;up;True
151;2025-10-09 08:32:00;25352,0;VALLE;down;True
152;2025-10-09 08:33:00;25358,75;PICO;up;True
155;2025-10-09 08:36:00;25346,75;VALLE;down;True
159;2025-10-09 08:40:00;25356,75;PICO;up;True
160;2025-10-09 08:41:00;25351,25;VALLE;down;True
162;2025-10-09 08:43:00;25359,5;PICO;up;True
169;2025-10-09 08:49:00;25338,5;VALLE;down;True
169;2025-10-09 08:50:00;25345,25;PICO;up;True
170;2025-10-09 08:52:00;25334,75;VALLE;down;True
172;2025-10-09 08:53:00;25340,0;PICO;up;True
176;2025-10-09 08:56:00;25326,25;VALLE;down;True
177;2025-10-09 08:57:00;25338,0;PICO;up;True
178;2025-10-09 08:59:00;25331,5;VALLE;down;True
180;2025-10-09 09:00:00;25342,0;PICO;up;True
180;2025-10-09 09:01:00;25332,5;VALLE;down;True
182;2025-10-09 09:02:00;25343,0;PICO;up;True
182;2025-10-09 09:03:00;25337,75;VALLE;down;True
184;2025-10-09 09:05:00;25347,75;PICO;up;True
186;2025-10-09 09:06:00;25338,5;VALLE;down;True
186;2025-10-09 09:07:00;25346,25;PICO;up;True
187;2025-10-09 09:08:00;25340,0;VALLE;down;True
190;2025-10-09 09:10:00;25346,75;PICO;up;True
190;2025-10-09 09:11:00;25340,5;VALLE;down;True
191;2025-10-09 09:12:00;25349,25;PICO;up;True
193;2025-10-09 09:13:00;25341,75;VALLE;down;True
194;2025-10-09 09:15:00;25348,75;PICO;up;True
195;2025-10-09 09:16:00;25340,0;VALLE;down;True
196;2025-10-09 09:17:00;25346,25;PICO;up;True
197;2025-10-09 09:18:00;25339,0;VALLE;down;True
201;2025-10-09 09:23:00;25347,25;PICO;up;True
204;2025-10-09 09:24:00;25336,0;VALLE;down;True
206;2025-10-09 09:26:00;25346,0;PICO;up;True
208;2025-10-09 09:28:00;25333,25;VALLE;down;True
208;2025-10-09 09:29:00;25339,0;PICO;up;True
