tick_index;timestamp;price;type;direction;confirmed;preview_tick_index;fractal_tick_index;preview_minutes
374;2025-10-24 13:41:40;25376,5;PICO;up;True;321;374;1
538;2025-10-24 13:44:21;25368,25;VALLE;down;True;514;538;1
643;2025-10-24 13:46:13;25374,25;PICO;up;True;573;643;1
732;2025-10-24 13:48:22;25369,0;VALLE;down;True;706;732;1
918;2025-10-24 13:50:41;25377,0;PICO;up;True;804;918;1
1012;2025-10-24 13:51:43;25371,25;VALLE;down;True;920;1012;1
1536;2025-10-24 13:56:08;25386,25;PICO;up;True;1240;1536;1
1767;2025-10-24 13:57:28;25374,75;VALLE;down;True;1595;1767;1
1846;2025-10-24 13:57:43;25381,25;PICO;up;True;1619;1846;1
1984;2025-10-24 13:59:11;25371,5;VALLE;down;True;1916;1984;1
2240;2025-10-24 14:02:01;25378,0;PICO;up;True;2156;2240;1
2289;2025-10-24 14:02:28;25371,75;VALLE;down;True;2213;2289;1
2709;2025-10-24 14:07:04;25384,25;PICO;up;True;2617;2709;1
3034;2025-10-24 14:11:19;25374,75;VALLE;down;True;2943;3034;1
3138;2025-10-24 14:12:08;25380,25;PICO;up;True;3016;3138;1
3716;2025-10-24 14:17:04;25367,75;VALLE;down;True;3631;3716;1
4021;2025-10-24 14:19:44;25373,25;PICO;up;True;3895;4021;1
4752;2025-10-24 14:25:50;25364,25;VALLE;down;True;4655;4752;1
5401;2025-10-24 14:29:07;25379,0;PICO;up;True;5159;5401;1
5551;2025-10-24 14:29:39;25372,5;VALLE;down;True;5284;5551;1
5610;2025-10-24 14:30:00;25380,5;PICO;up;True;5365;5610;1
5661;2025-10-24 14:30:01;25355,0;VALLE;down;True;5370;5661;1
5667;2025-10-24 14:30:01;25363,25;PICO;up;True;5370;5667;1
5668;2025-10-24 14:30:01;25355,0;VALLE;down;True;5370;5668;1
5671;2025-10-24 14:30:01;25364,0;PICO;up;True;5370;5671;1
5677;2025-10-24 14:30:01;25351,0;VALLE;down;True;5370;5677;1
5680;2025-10-24 14:30:01;25365,5;PICO;up;True;5370;5680;1
5689;2025-10-24 14:30:01;25355,25;VALLE;down;True;5370;5689;1
5690;2025-10-24 14:30:01;25368,25;PICO;up;True;5370;5690;1
5691;2025-10-24 14:30:01;25351,5;VALLE;down;True;5370;5691;1
5694;2025-10-24 14:30:01;25374,75;PICO;up;True;5370;5694;1
5699;2025-10-24 14:30:01;25352,75;VALLE;down;True;5370;5699;1
5700;2025-10-24 14:30:01;25367,0;PICO;up;True;5370;5700;1
5718;2025-10-24 14:30:01;25348,5;VALLE;down;True;5370;5718;1
5723;2025-10-24 14:30:01;25369,25;PICO;up;True;5370;5723;1
5724;2025-10-24 14:30:01;25348,5;VALLE;down;True;5370;5724;1
5725;2025-10-24 14:30:01;25369,25;PICO;up;True;5370;5725;1
