reset_timestamp;reset_price;cumulative_volume_before_reset;total_bid;total_ask;total_bid_ask;total_volume;sma;price_tag
2025-10-22 15:31:24.021;25223,25;2845;18;7;25;25;25251,06875;down
2025-10-22 15:34:36.021;25189,25;1744;23;5;28;28;25212,67375;down
2025-10-22 15:35:21.021;25179,5;493;23;32;55;55;25204,86625;down
2025-10-22 15:35:42.021;25177,25;408;3;21;24;24;25200,06625;down
2025-10-22 15:36:23.021;25187,25;483;4;67;71;71;25193,395;down
2025-10-22 15:38:20.021;25193,0;407;9;12;21;21;25188,02375;up
2025-10-22 15:40:42.021;25225,5;1262;15;29;44;44;25207,03875;up
2025-10-22 15:54:31.021;25280,0;615;7;34;41;41;25272,5675;up
2025-10-22 15:55:23.021;25267,25;307;66;42;108;108;25275,71875;down
2025-10-22 16:13:56.021;25225,25;421;9;160;169;169;25237,22375;down
2025-10-22 16:15:31.021;25212,25;1377;0;23;23;23;25224,90625;down
2025-10-22 16:16:30.021;25228,75;436;20;24;44;44;25219,5075;up
2025-10-22 16:24:14.021;25190,75;564;0;21;21;21;25213,9925;down
2025-10-22 16:26:44.021;25182,25;368;0;13;13;13;25195,49625;down
2025-10-22 16:27:26.021;25160,25;1896;75;1;76;76;25189,315;down
2025-10-22 16:28:27.021;25138,5;1092;2;3;5;5;25175,58625;down
2025-10-22 16:29:57.021;25123,0;1085;56;11;67;67;25146,1625;down
2025-10-22 16:30:38.021;25130,5;1111;6;23;29;29;25137,6625;down
2025-10-22 16:31:41.021;25099,25;1741;5;25;30;30;25125,2325;down
2025-10-22 16:33:31.021;25125,5;688;14;21;35;35;25110,33875;up
2025-10-22 16:37:26.021;25119,75;336;10;19;29;29;25111,9625;up
2025-10-22 16:45:45.021;25095,0;562;19;25;44;44;25080,94;up
2025-10-22 16:46:39.021;25061,0;693;9;13;22;22;25075,79625;down
2025-10-22 16:49:31.021;25099,5;390;1;32;33;33;25070,9825;up
2025-10-22 16:50:29.021;25116,5;600;6;10;16;16;25087,105;up
2025-10-22 16:52:09.021;25131,0;874;9;5;14;14;25114,325;up
2025-10-22 16:56:42.021;25150,0;541;11;12;23;23;25129,32;up
2025-10-22 16:57:27.021;25154,25;580;4;28;32;32;25135,8625;up
2025-10-22 16:59:44.021;25174,0;413;10;2;12;12;25158,40875;up
2025-10-22 17:00:18.021;25171,0;512;3;47;50;50;25162,355;up
